City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,77.79,scattered clouds,-9.8,-139.0333,Villa Enata
3,Fort Saint James,CA,66.54,moderate rain,54.4333,-124.25,The View Hotel
5,Vila Do Maio,CV,77.79,scattered clouds,15.1333,-23.2167,Hotel Marilu
7,Saint-Philippe,RE,65.75,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
12,Bambous Virieux,MU,68.25,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
19,Rikitea,PF,74.35,light rain,-23.1203,-134.9692,People ThankYou
27,Bengkulu,ID,73.62,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
31,Pasighat,IN,76.55,overcast clouds,28.0667,95.3333,Siang Guest House
34,Sistranda,NO,69.76,broken clouds,63.7256,8.834,Hotell Frøya
36,Huaihua,CN,76.46,clear sky,27.5494,109.9592,怀化天庆大酒店
37,Ribeira Grande,PT,70.95,few clouds,38.5167,-28.7,Quinta da Meia Eira
42,Luanda,AO,69.01,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
49,La Ronge,CA,73.65,few clouds,55.1001,-105.2842,Northland Motor Hotel
50,Asau,RO,65.95,broken clouds,46.4333,26.4,Casa Mika Ciobanus
52,Hilo,US,78.53,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
59,Santa Isabel Do Rio Negro,BR,75.7,overcast clouds,-0.4139,-65.0192,Hotel GSA
65,Yinchuan,CN,75.31,few clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
66,Fukue,JP,79.38,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
68,Yellowknife,CA,70.32,broken clouds,62.456,-114.3525,The Explorer Hotel
69,Carnarvon,AU,68.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
70,Palu,ID,76.62,broken clouds,-0.8917,119.8707,Hotel Santika Palu
73,Shizunai,JP,74.95,scattered clouds,42.3339,142.3669,Shizunai Eclipse Hotel
76,Hay River,CA,71.58,broken clouds,60.8156,-115.7999,Ptarmigan Inn
80,Flin Flon,CA,71.44,scattered clouds,54.7682,-101.865,Victoria Inn Flin Flon
81,Saint-Pierre,RE,65.84,light rain,-21.3393,55.4781,Lindsey Hôtel
85,Kutum,SD,69.31,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
87,Baft,IR,71.89,clear sky,29.234,56.6057,بافت خیابان طالقانی غربی ساختمان مادر
91,Boyolangu,ID,71.26,broken clouds,-8.1181,111.8935,Yos ega cv
92,Thompson,CA,71.76,scattered clouds,55.7435,-97.8558,Burntwood Hotel
94,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
102,Hearst,CA,71.85,broken clouds,49.6835,-83.6665,Companion
104,Wukari,NG,73.36,overcast clouds,7.85,9.7833,Elimtop
108,Aleksandrov Gay,RU,67.87,clear sky,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
111,Ponta Do Sol,PT,74.03,clear sky,32.6667,-17.1,Hotel do Campo
116,Puerto Leguizamo,CO,74.57,broken clouds,-0.1934,-74.7819,la casona de juancho
119,Changde,CN,78.84,clear sky,29.0464,111.6783,Kangshida Hotel
120,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
121,Riga,LV,71.67,clear sky,57.0,24.0833,Hotel Skanste
123,Weligama,LK,79.07,overcast clouds,5.9667,80.4167,Weligama Bay Resort
129,Conde,BR,76.46,clear sky,-7.2597,-34.9075,Pousada Beija Flor
134,Sinjai,ID,74.26,few clouds,-5.1241,120.253,Wisma Sandika
135,Sept-Iles,CA,65.05,overcast clouds,50.2001,-66.3821,Comfort Inn
137,Beyneu,KZ,79.95,clear sky,45.3167,55.2,NUR
142,Salalah,OM,77.25,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
144,Muisne,EC,75.94,overcast clouds,0.6,-80.0333,Quinta Samay
147,Los Llanos De Aridane,ES,68.13,few clouds,28.6585,-17.9182,Valle Aridane
148,Upata,VE,73.11,scattered clouds,8.0086,-62.3989,Posada Villa Nela
155,Mitsamiouli,KM,75.4,clear sky,-11.3847,43.2844,Foyer ADM
