City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,77.79,67,50,23.35,scattered clouds
1,Castro,BR,-24.7911,-50.0119,58.44,65,4,4.41,clear sky
2,Port Alfred,ZA,-33.5906,26.891,61.5,33,100,10.25,overcast clouds
3,Fort Saint James,CA,54.4333,-124.25,66.54,56,74,5.86,moderate rain
4,Palauig,PH,15.435,119.9045,82.02,85,100,15.19,overcast clouds
5,Vila Do Maio,CV,15.1333,-23.2167,77.79,83,27,11.18,scattered clouds
6,Tokur,RU,53.1333,132.9,60.06,97,100,3.6,light rain
7,Saint-Philippe,RE,-21.3585,55.7679,65.75,79,66,11.88,light rain
8,Punta Arenas,CL,-53.15,-70.9167,41.11,81,0,13.8,clear sky
9,Ushuaia,AR,-54.8,-68.3,35.26,75,75,6.91,light rain
10,Silver City,US,32.7701,-108.2803,84.63,36,90,8.01,overcast clouds
11,Hermanus,ZA,-34.4187,19.2345,56.84,61,28,6.53,scattered clouds
12,Bambous Virieux,MU,-20.3428,57.7575,68.25,94,75,11.5,light intensity shower rain
13,Mecca,SA,21.4267,39.8261,88.3,35,79,5.75,broken clouds
14,Leningradskiy,RU,69.3833,178.4167,41.95,79,63,7.27,broken clouds
15,Christchurch,NZ,-43.5333,172.6333,48.9,89,90,3.0,light rain
16,Bredasdorp,ZA,-34.5322,20.0403,58.32,47,84,4.61,broken clouds
17,Arlit,NE,18.7369,7.3853,96.51,20,100,15.73,overcast clouds
18,Tasiilaq,GL,65.6145,-37.6368,37.8,89,52,4.07,broken clouds
19,Rikitea,PF,-23.1203,-134.9692,74.35,77,77,18.66,light rain
20,Busselton,AU,-33.65,115.3333,50.09,58,99,33.2,overcast clouds
21,Bluff,NZ,-46.6,168.3333,46.8,76,29,19.57,scattered clouds
22,Jamestown,US,42.097,-79.2353,80.24,44,1,8.05,clear sky
23,Mataura,NZ,-46.1927,168.8643,46.47,89,39,3.98,scattered clouds
24,Kokopo,PG,-4.352,152.2633,81.63,71,6,5.55,clear sky
25,Oulu,FI,65.0124,25.4682,64.51,95,0,1.01,clear sky
26,Okhotsk,RU,59.3833,143.3,67.8,69,0,7.54,clear sky
27,Bengkulu,ID,-3.8004,102.2655,73.62,76,3,4.79,clear sky
28,Dicabisagan,PH,17.0818,122.4157,82.8,68,99,3.51,overcast clouds
29,Olafsvik,IS,64.8945,-23.7142,49.86,85,100,11.05,overcast clouds
30,Bonfim,BR,3.0833,-59.95,77.16,86,59,4.05,heavy intensity rain
31,Pasighat,IN,28.0667,95.3333,76.55,98,100,3.4,overcast clouds
32,Svetlyy,RU,54.675,20.1347,64.45,94,97,9.75,overcast clouds
33,Kodiak,US,57.79,-152.4072,60.31,67,90,6.91,overcast clouds
34,Sistranda,NO,63.7256,8.834,69.76,71,60,8.3,broken clouds
35,Taoudenni,ML,22.6783,-3.9836,101.35,8,0,9.55,clear sky
36,Huaihua,CN,27.5494,109.9592,76.46,87,4,2.33,clear sky
37,Ribeira Grande,PT,38.5167,-28.7,70.95,89,14,13.06,few clouds
38,Cherskiy,RU,68.75,161.3,52.47,51,6,16.69,clear sky
39,Durban,ZA,-29.8579,31.0292,57.02,84,81,1.01,broken clouds
40,Nanortalik,GL,60.1432,-45.2371,49.55,76,37,4.83,scattered clouds
41,Lebu,CL,-37.6167,-73.65,47.16,71,12,16.89,few clouds
42,Luanda,AO,-8.8368,13.2343,69.01,93,66,5.82,broken clouds
43,Victoria,HK,22.2855,114.1577,88.32,86,94,1.01,overcast clouds
44,Provideniya,RU,64.3833,-173.3,50.11,87,90,2.24,overcast clouds
45,Saskylakh,RU,71.9167,114.0833,52.61,71,64,5.61,broken clouds
46,Xai-Xai,MZ,-25.0519,33.6442,61.02,83,18,3.47,light rain
47,Kapaa,US,22.0752,-159.319,86.32,69,40,1.99,scattered clouds
48,Butaritari,KI,3.0707,172.7902,82.26,75,78,7.87,light rain
49,La Ronge,CA,55.1001,-105.2842,73.65,49,20,1.14,few clouds
50,Asau,RO,46.4333,26.4,65.95,81,56,5.12,broken clouds
