City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kaduna,NG,2021-07-24 18:32:45,10.5222,7.4383,69.42,95,95,5.32
1,Tuktoyaktuk,CA,2021-07-24 18:29:23,69.4541,-133.0374,57.2,62,40,18.41
2,Jamestown,US,2021-07-24 18:32:45,42.097,-79.2353,80.19,61,20,7.0
3,Ondjiva,AO,2021-07-24 18:32:46,-17.0667,15.7333,59.54,16,0,7.81
4,Vila Velha,BR,2021-07-24 18:30:54,-20.3297,-40.2925,75.15,60,40,9.22
5,Bathsheba,BB,2021-07-24 18:32:20,13.2167,-59.5167,86.61,74,40,12.66
6,Mar Del Plata,AR,2021-07-24 18:30:23,-38.0023,-57.5575,53.01,65,0,15.01
7,Dudinka,RU,2021-07-24 18:32:47,69.4058,86.1778,49.59,78,100,3.53
8,Mount Isa,AU,2021-07-24 18:25:54,-20.7333,139.5,55.17,44,69,1.14
9,Rafaela,AR,2021-07-24 18:31:29,-31.2503,-61.4867,73.99,52,100,8.63
10,Vardo,NO,2021-07-24 18:29:02,70.3705,31.1107,46.26,83,97,28.05
11,Tuatapere,NZ,2021-07-24 18:30:53,-46.1333,167.6833,40.82,80,100,7.07
12,Butaritari,KI,2021-07-24 18:29:16,3.0707,172.7902,83.52,73,19,18.1
13,Muros,ES,2021-07-24 18:32:03,42.7762,-9.0603,72.1,83,24,2.82
14,Cape Town,ZA,2021-07-24 18:32:48,-33.9258,18.4232,54.27,70,0,3.44
15,Busselton,AU,2021-07-24 18:28:48,-33.65,115.3333,56.08,76,97,16.2
16,Kedougou,SN,2021-07-24 18:32:49,12.5579,-12.1743,90.18,58,40,11.5
17,Vaini,TO,2021-07-24 18:28:49,-21.2,-175.2,69.96,100,75,1.14
18,Puerto Ayora,EC,2021-07-24 18:24:44,-0.7393,-90.3518,82.36,81,31,8.01
19,Catumbela,AO,2021-07-24 18:32:50,-12.4314,13.5472,69.17,87,3,3.83
20,Pevek,RU,2021-07-24 18:26:47,69.7008,170.3133,37.15,92,95,7.23
21,Bredasdorp,ZA,2021-07-24 18:28:45,-34.5322,20.0403,45.72,93,52,2.3
22,Kaseda,JP,2021-07-24 18:31:20,31.4167,130.3167,77.85,83,100,19.17
23,Cabo San Lucas,MX,2021-07-24 18:27:59,22.8909,-109.9124,98.51,65,1,8.01
24,Rehoboth,NA,2021-07-24 18:32:51,-23.3167,17.0833,50.14,12,0,6.58
25,Carnarvon,AU,2021-07-24 18:29:43,-24.8667,113.6333,62.67,70,90,10.36
